"the"	1596419
"quot"	1400092
"gt"	1211888
"lt"	1205656
"id"	1142905
"of"	972204
"in"	659218
"and"	634202
"text"	604352
"a"	581510
"title"	539917
"to"	489127
"page"	439939
"is"	407340
"format"	386311
"model"	381564
"category"	380599
"revision"	380467
"ns"	378544
"timestamp"	377863
"contributor"	377226
"sha1"	376839
"ref"	370336
"username"	361677
"0"	358489
"comment"	350146
"s"	295792
"parentid"	292767
"1"	250429
"on"	244426
"amp"	243908
"it"	218535
"by"	218491
"http"	217221
"for"	216011
"was"	213411
"2"	203461
"x"	202304
"wiki"	199562
"space"	197216
"xml"	189061
"preserve"	188766
"wikitext"	188566
"name"	180142
"d"	169346
"br"	166273
"that"	160304
"as"	159125
"www"	156239
"user"	154075
"2013"	153752
"font"	153538
"from"	152852
"align"	148689
"with"	137882
"style"	136602
"are"	134268
"he"	126278
"this"	123821
"talk"	123576
"com"	122914
"3"	122138
"color"	121533
"i"	119877
"minor"	117167
"or"	113222
"at"	112928
"center"	111562
"redirect"	111336
"be"	109563
"small"	102848
"an"	101364
"4"	95648
"not"	95261
"new"	94893
"people"	94283
"10"	93360
"football"	90184
"nbsp"	89135
"united"	86507
"b"	85584
"first"	83424
"cite"	83289
"other"	82511
"date"	82360
"5"	82212
"url"	79642
"03"	77703
"if"	77047
"they"	76751
"his"	75778
"span"	74840
"now"	74596
"american"	73474
"states"	72699
"one"	71327
"stub"	70368
"2009"	69337
"moved"	69255
"have"	69087
