"the"	1579644
"of"	947437
"in"	647037
"and"	619675
"a"	573372
"to"	445456
"is"	405147
"ref"	370018
"category"	325594
"s"	290175
"1"	234910
"http"	216872
"it"	215571
"0"	214013
"was"	212993
"for"	209574
"2"	197576
"on"	186247
"name"	177114
"br"	166155
"that"	158618
"as"	156834
"www"	156145
"font"	153480
"align"	148625
"by"	148306
"user"	146742
"from"	143761
"style"	136134
"are"	133857
"with"	131535
"he"	126061
"com"	122500
"this"	122117
"color"	120390
"3"	118512
"i"	117888
"title"	116017
"talk"	112780
"at"	111676
"center"	111275
"be"	108689
"or"	105925
"small"	102603
"an"	100357
"not"	93352
"new"	90602
"people"	89851
"nbsp"	89044
"football"	88835
"4"	88826
"b"	84789
"united"	83021
"cite"	83007
"first"	82997
"date"	81964
"other"	80035
"5"	79999
"url"	79564
"they"	76627
"if"	76529
"his"	75642
"span"	74704
"american"	70477
"one"	70408
"states"	69940
"have"	68691
"stub"	67914
"utc"	67506
"jpg"	66958
"c"	66272
"has"	65231
"accessdate"	65074
"right"	64033
"6"	63639
"10"	62870
"also"	62706
"web"	62269
"2009"	61408
"2008"	60691
"bgcolor"	60566
"publisher"	60192
"player"	60086
"can"	58976
"image"	58306
"d"	57400
"n"	57201
"2010"	56978
"which"	56036
"sup"	55723
"but"	55191
"de"	54494
"m"	54419
"county"	54129
"city"	53811
"were"	53568
"world"	52332
"file"	52280
"league"	52263
"there"	51986
